NAME,price,room type,house_rules,minimum nights,maximum occupancy,review rate number,city
Gem off of Prospect Park,534.0,Private room,No parties,2.0,1,5.0,Jacksonville
Large sunny room queen bed &balcony,412.0,Private room,No pets,1.0,2,2.0,Jacksonville
Next to Central Park,913.0,Private room,No visitors & No smoking,2.0,1,2.0,Jacksonville
Gorgeous Garden Apt Steps To Park,1176.0,Entire home/apt,No smoking,1.0,4,4.0,Jacksonville
Plant-filled colorful Bushwick bedroom!,638.0,Private room,No smoking & No parties,5.0,1,2.0,Panama City
Place of peace,1062.0,Private room,No children under 10 & No smoking & No parties,1.0,2,2.0,Panama City
renovated one bedroom in our beautiful townhouse,620.0,Entire home/apt,No visitors,3.0,2,2.0,Panama City
Home away from home,1049.0,Private room,No parties,1.0,1,5.0,Panama City
1Bdrm Deluxe WYNDHAM MIDTOWN 45*Great Location NYC,477.0,Private room,No pets,3.0,1,4.0,Panama City
Perfect Location 2bd w Bklyn Charm,64.0,Entire home/apt,No visitors & No smoking,3.0,3,1.0,Panama City
• Eye Catching Views  | Luxurious 1 Bedroom •,1045.0,Entire home/apt,No visitors,30.0,6,3.0,Panama City
Private Room in Bed-Stuy Apartment,621.0,Private room,No smoking & No pets,1.0,1,2.0,Panama City
Amazing New 1 Bedroom in the UES #6132,1129.0,Entire home/apt,No parties,30.0,5,2.0,Panama City
Cozy modern studio in heart of LES,699.0,Entire home/apt,No visitors & No pets,2.0,4,5.0,Panama City
Brand New Studio with Balcony @ Williamsburg!,1103.0,Entire home/apt,No smoking & No children under 10,3.0,10,3.0,Panama City
Prime Doorman Elevator! Huge One bedroom UN 5239,1154.0,Entire home/apt,No visitors,30.0,4,2.0,Panama City
"4 Bedroom Apt. Prospect Lefferts Gardens, Bklyn",333.0,Entire home/apt,No smoking,1.0,3,5.0,Panama City
Bright Loft-Like Apartment,915.0,Entire home/apt,No children under 10,15.0,2,4.0,Panama City
"Cosy, friendly room in great part of Bed Stuy!",501.0,Private room,No pets & No visitors & No children under 10,2.0,2,2.0,Panama City
sunshine bedroom in old school artist loft,169.0,Private room,No parties & No children under 10,7.0,2,1.0,Panama City
Cozy apartment (East Williamsburg),361.0,Entire home/apt,No pets & No visitors,3.0,2,3.0,Panama City
Williamsburg Pied-à-terre,283.0,Entire home/apt,No parties & No pets,3.0,3,3.0,Panama City
Laundry + Free Cleaning & WiFi - 5min to Metro,787.0,Private room,No smoking & No pets & No parties,20.0,2,4.0,Panama City
Sunny 1-Bdrm Near Shopping,172.0,Entire home/apt,No visitors,5.0,2,2.0,Panama City
Spacious & Charming Apartment in Bedstuy,649.0,Entire home/apt,No children under 10,2.0,2,1.0,Panama City
Artist's Budget Apartment,142.0,Private room,No pets,2.0,2,1.0,Panama City
Large one bedroom apt in Greenpoint,230.0,Entire home/apt,No visitors,7.0,3,1.0,Panama City
Sunny and Large Brooklyn Apartment!,866.0,Entire home/apt,No visitors,4.0,2,4.0,Panama City
3 Bedroom Prime Park Slope 6th Ave/Barclays Center,121.0,Entire home/apt,No visitors,2.0,2,3.0,Panama City
1 Bedroom Apt East Village/USQ,236.0,Entire home/apt,No visitors,1.0,2,4.0,Panama City
Brooklyn Room in Hip Neighborhood - Close to Train,742.0,Private room,No parties & No children under 10 & No smoking,1.0,1,1.0,Philadelphia
Industrial Loft Living in NYC,178.0,Entire home/apt,No smoking,4.0,3,3.0,Philadelphia
Top floor of an amazing duplex,509.0,Private room,No parties,1.0,2,3.0,Philadelphia
Sunny room along riverside on 66th,217.0,Entire home/apt,No visitors & No parties,12.0,2,1.0,Philadelphia
Modern Luxury Apartment in Heart of Williamsburg,567.0,Entire home/apt,No parties,2.0,3,2.0,Philadelphia
Quiet Cozy Chelsea Studio,1029.0,Entire home/apt,No parties,3.0,7,5.0,Philadelphia
2BR luxury apt in Midtown East,897.0,Entire home/apt,No children under 10,4.0,3,3.0,Philadelphia
2 BDRM PRESIDENTIAL LUXURY CONDO MIDTOWN 45  NYC *,609.0,Private room,No visitors & No pets,3.0,2,2.0,Philadelphia
Gorgeous Lower Manhattan studio for summer sublet,962.0,Entire home/apt,No pets,35.0,4,4.0,Philadelphia
PRIVATE BEDROOM and BATHROOM crown heights Aprtmnt,1047.0,Private room,No smoking & No pets,1.0,2,5.0,Philadelphia
Cozy Nolita Apartment,170.0,Entire home/apt,No smoking & No parties,2.0,3,2.0,Harrisburg
Modern 1 Bedroom Luxury Apartment in Dumbo,449.0,Entire home/apt,No pets,4.0,3,4.0,Harrisburg
Ridgewood/Bushwick ~ Bungalow,943.0,Entire home/apt,No visitors & No parties & No smoking,4.0,7,3.0,Harrisburg
3 Cozy Zen Rooms In Beautiful Apt.,349.0,Private room,No children under 10 & No visitors,2.0,2,5.0,Harrisburg
Spacious apt in heart of Downtown!,377.0,Private room,No children under 10 & No parties,1.0,1,3.0,Harrisburg
LIVE BROOKLYN! Private 1 BR APT - 5 min to Subway,1001.0,Entire home/apt,No parties & No smoking & No children under 10,2.0,2,4.0,Harrisburg
Sunny well-located room near Times Sq. 41D2,55.0,Private room,No smoking,7.0,1,3.0,Harrisburg
Clean & Large room hearth of NYC Midtown!!,741.0,Private room,No parties & No smoking,9.0,1,5.0,Harrisburg
livingroom for rent queen size sofa bed or air bed,1109.0,Shared room,No children under 10,2.0,1,3.0,Harrisburg
East Harlem Entire 1BR apt,1009.0,Entire home/apt,No pets & No smoking,5.0,8,5.0,Harrisburg
Historical home N.shore Staten Isl. nr FREE ferry.,553.0,Entire home/apt,No parties,30.0,5,2.0,Harrisburg
Cozy Studio in the Heart of Manhattan,570.0,Entire home/apt,No smoking & No children under 10,5.0,2,2.0,Harrisburg
Sunny Two Bed in Prime Lower East Side/Chinatown:),898.0,Private room,No visitors & No pets,1.0,2,4.0,Harrisburg
"☆  HUGE, SUNLIT Room - 3 min walk from Train !",412.0,Private room,No smoking & No visitors,29.0,1,3.0,State College
Charming 1BR in UES Townhouse,1134.0,Entire home/apt,No smoking,30.0,4,2.0,State College
NiceRoomNiceNeighborhoodCloseMaimonidesHospital,845.0,Private room,No pets,1.0,1,5.0,State College
"Beautiful, Newly Furnished, Luxury, Grand Central",210.0,Entire home/apt,No parties,30.0,2,4.0,State College
Private Room in large 2 bedroom apt,1006.0,Private room,No children under 10 & No smoking,3.0,2,1.0,State College
"Modern, big and comfy space in the heart of NYC",306.0,Entire home/apt,No children under 10,2.0,2,2.0,State College
Charming Bohemian Bushwick Apt,301.0,Private room,No visitors,4.0,2,4.0,State College
Small and Cozy room on Upper West Side,269.0,Private room,No parties,1.0,1,3.0,State College
Exclusive 2 bedrooms in lovely apartment in Nolita,1167.0,Private room,No pets & No visitors,6.0,1,2.0,State College
Tribeca Apt w/ Rooftop Views,1040.0,Private room,No pets & No parties,4.0,2,2.0,State College
LUXURY HUGE 2BR DUPLEX NEAR TRAIN - PATIO OASIS!!,356.0,Entire home/apt,No pets,1.0,3,3.0,State College
"Gramercy Park restful, cozy, sun-filled home",968.0,Entire home/apt,No parties,2.0,8,2.0,Amarillo
Harlem Humble Abode - 1 bedroom - Cute and Quaint,409.0,Entire home/apt,No pets,5.0,3,5.0,Amarillo
SUNNY 2 BEDS - NEAR 3 METROS IN WILLIAMSBURG,445.0,Private room,No children under 10,2.0,2,3.0,Amarillo
Trendy Brooklyn Room - 20mins from Manhattan,267.0,Private room,No children under 10 & No parties,1.0,2,4.0,Amarillo
1BR Doorman Bldg Boerum Hill BK,510.0,Entire home/apt,No visitors & No pets,2.0,5,3.0,Amarillo
Private Master Bedroom w/Garden 14 min to Union Sq,869.0,Private room,No smoking,1.0,1,5.0,Amarillo
"STUNNING, HUGE 1 bed apartment, steps from train!",900.0,Entire home/apt,No parties & No smoking,4.0,9,3.0,Amarillo
Spacious retreat,528.0,Entire home/apt,No smoking,2.0,5,4.0,Amarillo
"Great location, private bedroom with two windows.",883.0,Private room,No pets,2.0,1,3.0,Amarillo
Relax in SoHo with private outdoor space,1063.0,Entire home/apt,No visitors,2.0,4,5.0,Amarillo
Lovely Park Slope Pied a Terre,1086.0,Entire home/apt,No parties & No pets,5.0,10,2.0,Amarillo
2 bedroom Kid Friendly Cobble Hill,129.0,Entire home/apt,No visitors & No smoking,3.0,3,1.0,Del Rio
Spacious Brooklyn One Bedroom/Loft***Morgan L Stop,1164.0,Entire home/apt,No visitors,4.0,4,3.0,Del Rio
"2017 BUILDING, NEW LOFT, 5 MIN SUB TO MANHATAN",833.0,Private room,No smoking,1.0,1,4.0,Del Rio
"Studio apartment between NYC, JFK and LGA airports",728.0,Entire home/apt,No smoking,3.0,7,3.0,Del Rio
Colorful and central Gramercy apartment,736.0,Entire home/apt,No children under 10 & No pets,2.0,4,4.0,Del Rio
The proud New Yorker Room,82.0,Private room,No children under 10,1.0,1,4.0,Del Rio
The Manhattan Club in the heart of midtown!!!!,723.0,Entire home/apt,No pets & No parties,4.0,7,1.0,Del Rio
"Spacious, Sunny 1 Bedroom Apartment",473.0,Entire home/apt,No visitors & No smoking,5.0,2,4.0,Del Rio
Greenpoint Room,568.0,Entire home/apt,No visitors & No parties,3.0,5,2.0,Del Rio
Beautiful one bedroom in Soho,751.0,Entire home/apt,No parties,2.0,6,4.0,Del Rio
Sunny and Airy near Manhattan,499.0,Entire home/apt,No pets,2.0,4,5.0,Houston
Bright room in 2BR apt in Nolita!,1024.0,Private room,No children under 10,2.0,2,4.0,Houston
Superhost 3 bedroom DISCOUNT,746.0,Entire home/apt,No pets,1.0,5,4.0,Houston
Spacious room in front of prospect park,259.0,Private room,No smoking,1.0,1,5.0,Houston
Private bedroom in artsy NYC apartment.,488.0,Private room,No smoking,3.0,1,3.0,Houston
Cozy Room near Casino and Metro,1092.0,Private room,No parties,1.0,2,4.0,Houston
"1BR in Newly Renovated Apartment - Rm C, Bushwick!",288.0,Private room,No smoking,1.0,1,4.0,Houston
"Artsy, Sun-Soaked Pre-War Williamsburg Apt",872.0,Entire home/apt,No parties,10.0,2,4.0,Houston
Beautiful and Huge Room in Brooklyn,957.0,Private room,No parties & No pets,13.0,1,3.0,Houston
Backpackers Dream for 1 at The Funky Loft,244.0,Private room,No parties & No smoking,3.0,1,4.0,Houston
"Joyce and Donovan's, Room for One",83.0,Private room,No parties,25.0,2,2.0,Abilene
Apartment minutes from manhattan,295.0,Entire home/apt,No pets & No visitors,2.0,2,2.0,Abilene
Private 1BR with Private Bathroom feet from subway,668.0,Entire home/apt,No children under 10 & No visitors & No smoking,1.0,2,4.0,Abilene
"Fresh, bright modern studio w/ Garage Parking",488.0,Entire home/apt,No parties,3.0,3,1.0,Abilene
Midtown East penthouse studio,1147.0,Entire home/apt,No smoking & No pets & No parties,10.0,4,2.0,Abilene
Entire Home / Apt in Williamsburg + Rooftop,191.0,Entire home/apt,No pets,3.0,3,5.0,Abilene
NYC Studio near Central Park and the Hudson River,304.0,Entire home/apt,No pets,2.0,2,3.0,Abilene
Super suite to stay in New York,1049.0,Entire home/apt,No children under 10 & No visitors,7.0,5,2.0,Abilene
Cozy Artists Apartment in Central Harlem,284.0,Private room,No visitors,1.0,1,2.0,Abilene
Penthouse Apartment in Chelsea,412.0,Entire home/apt,No children under 10,2.0,3,1.0,Corpus Christi
Comfortable Sofa Bed For Rent In NYC. Female ONLY,1106.0,Shared room,No parties,2.0,1,5.0,Corpus Christi
Huge Room with a View on Manhattan!,383.0,Private room,No smoking & No visitors,1.0,1,4.0,Corpus Christi
Adorable room on the Upper East Side!,405.0,Private room,No pets,20.0,2,3.0,Corpus Christi
Cozy Private Room for Eager Travelers! :D,420.0,Private room,No parties,3.0,1,5.0,Corpus Christi
3 bedroom Tourist's heaven 2nd floor,508.0,Entire home/apt,No children under 10 & No parties,1.0,2,4.0,Corpus Christi
"Large, Private 1 Bedroom in Historic Brownstone",330.0,Entire home/apt,No children under 10 & No pets,5.0,2,4.0,Corpus Christi
Modern Loft overlooking McCarren Park,301.0,Entire home/apt,No pets,6.0,2,2.0,Corpus Christi
My Little Guest Apartment,524.0,Entire home/apt,No children under 10,2.0,4,1.0,Corpus Christi
Private bedroom in Washington Heights,423.0,Private room,No parties & No pets,3.0,1,5.0,Corpus Christi
Charming duplex  Morningside Heights-Private Floor,564.0,Private room,No children under 10 & No parties & No pets,1.0,1,4.0,Corpus Christi
Luxe Loft Apartment-10 minutes from Manhattan!,514.0,Private room,No parties & No pets,4.0,1,2.0,Corpus Christi
5mn location from Manhattan midtown,875.0,Private room,No visitors,1.0,2,1.0,Corpus Christi
A Couch In East Williamsburg Near Train.,247.0,Shared room,No pets & No visitors,1.0,1,4.0,Corpus Christi
☆Massive DUPLEX☆ 2BR & 2BTH East Village 9+ Guests,619.0,Entire home/apt,No pets,2.0,5,1.0,Corpus Christi
2 bedroom Kid Friendly Cobble Hill,129.0,Entire home/apt,No visitors & No smoking,3.0,3,1.0,Del Rio
Spacious Brooklyn One Bedroom/Loft***Morgan L Stop,1164.0,Entire home/apt,No visitors,4.0,4,3.0,Del Rio
"2017 BUILDING, NEW LOFT, 5 MIN SUB TO MANHATAN",833.0,Private room,No smoking,1.0,1,4.0,Del Rio
"Studio apartment between NYC, JFK and LGA airports",728.0,Entire home/apt,No smoking,3.0,7,3.0,Del Rio
Colorful and central Gramercy apartment,736.0,Entire home/apt,No children under 10 & No pets,2.0,4,4.0,Del Rio
The proud New Yorker Room,82.0,Private room,No children under 10,1.0,1,4.0,Del Rio
The Manhattan Club in the heart of midtown!!!!,723.0,Entire home/apt,No pets & No parties,4.0,7,1.0,Del Rio
"Spacious, Sunny 1 Bedroom Apartment",473.0,Entire home/apt,No visitors & No smoking,5.0,2,4.0,Del Rio
Greenpoint Room,568.0,Entire home/apt,No visitors & No parties,3.0,5,2.0,Del Rio
Beautiful one bedroom in Soho,751.0,Entire home/apt,No parties,2.0,6,4.0,Del Rio
Private furnished bedroom in Williamsburg,179.0,Private room,No parties & No smoking & No children under 10,5.0,1,2.0,Orlando
"Sixth Ave Chelsea, Studio Serviced Apartment",70.0,Entire home/apt,No visitors & No pets,30.0,3,2.0,Orlando
Large and furnished,345.0,Private room,No smoking & No pets,7.0,2,4.0,Orlando
Private room in Jackson Heights Apartment 2+,1081.0,Private room,No parties,1.0,1,1.0,Orlando
"Che’ Randall Deux
SoBro
10 minutes to Manhattan!",854.0,Private room,No children under 10,5.0,2,4.0,Orlando
Room in Upper East Side!,885.0,Private room,No smoking & No pets & No parties,1.0,2,4.0,Orlando
BKLYN Brownstone- Glam Getaway!,287.0,Entire home/apt,No pets & No visitors,3.0,2,3.0,Orlando
"Rare Find: SUNNY, LARGE DUPLEX Chelsea 2BR 2BA",188.0,Entire home/apt,No pets,6.0,2,5.0,Orlando
Riverside Drive Apartment,878.0,Entire home/apt,No visitors & No parties & No smoking,31.0,5,5.0,Orlando
"Private room. 1 bed, 2 guests, 3333 Broadway",705.0,Private room,No pets,1.0,2,3.0,Orlando
Simple and clean bedroom with good view and light,669.0,Private room,No children under 10,1.0,2,5.0,Miami
Cozy Two-bedroom Apt in a Cute House in Brooklyn!,99.0,Private room,No children under 10,4.0,1,4.0,Miami
"""HELLO BROOKLYN"" PARK SIDE VIEW NEWLY RENO APT.",789.0,Entire home/apt,No parties & No visitors,1.0,6,5.0,Miami
King Hotel Room at Wyndham Midtown 45 Resort,264.0,Private room,No pets & No smoking & No children under 10,2.0,2,3.0,Miami
Charming 1BD Astoria Penthouse,806.0,Entire home/apt,No smoking,2.0,8,5.0,Miami
Unbeatable & Massive Midtown 3 Bedroom Apt,905.0,Entire home/apt,No smoking,4.0,6,5.0,Miami
1 Bedroom Heart of Financial Dist,386.0,Private room,No visitors & No children under 10 & No smoking,2.0,2,4.0,Miami
Bushwick Duplex 1,283.0,Private room,No parties,1.0,2,5.0,Miami
Comfortable shared apartmant by Times Square,924.0,Shared room,No smoking & No children under 10,1.0,1,2.0,Miami
Modern furnished 2-Bedroom NYC Apartment!,647.0,Entire home/apt,No parties,30.0,3,1.0,Miami
Williamsburg bliss,1086.0,Entire home/apt,No visitors,3.0,3,4.0,Miami
Great 3 Bedroom Apartment - Incredible Location,685.0,Entire home/apt,No parties & No children under 10,25.0,4,5.0,Fort Lauderdale
Inviting Photographer's Loft in Tribeca,626.0,Entire home/apt,No visitors & No smoking,5.0,4,3.0,Fort Lauderdale
Clean 1br w/Parking Incl.  also 10min near JFK/LGA,483.0,Private room,No visitors & No parties,1.0,1,2.0,Fort Lauderdale
Totally Renovated Plush loft apartment,835.0,Entire home/apt,No pets,4.0,7,2.0,Fort Lauderdale
Spacious room in Brooklyn by the subway!,583.0,Private room,No smoking,3.0,2,5.0,Fort Lauderdale
Stylish 1 BDR in Upper East Side,433.0,Entire home/apt,No smoking,30.0,3,3.0,Fort Lauderdale
4 bedrooms private house,437.0,Entire home/apt,No pets & No visitors & No parties,4.0,2,4.0,Fort Lauderdale
BRIGHT CHARMING STUDIO ON UPPER EAST SIDE,496.0,Entire home/apt,No smoking,30.0,2,2.0,Fort Lauderdale
Clinton Hill Private Room,745.0,Private room,No parties & No smoking,3.0,1,4.0,Fort Lauderdale
"New, Luxury and Sunny Apartment",887.0,Entire home/apt,No parties,1.0,7,3.0,Fort Lauderdale
PRIVATE Bedroom & bathroom  TRIBECA,856.0,Private room,No parties,3.0,2,4.0,Fort Lauderdale
Lefferts Garden 1 bedroom,317.0,Private room,No pets & No parties & No visitors,1.0,2,5.0,Fort Lauderdale
~Flatiron 2 Bedroom~Amazing Location~Sleeps 6~,184.0,Entire home/apt,No children under 10 & No parties,4.0,2,5.0,Fort Lauderdale
Beautiful two bedroom apt in Crown Heights/Bedsty,748.0,Entire home/apt,No children under 10,2.0,3,5.0,Everett
Spacious artsy apartment near Gramercy/Flatiron,430.0,Entire home/apt,No smoking,5.0,3,5.0,Everett
Cozy Apartment across Astoria Park,880.0,Entire home/apt,No children under 10 & No pets & No visitors,1.0,4,5.0,Everett
Park Slope -Sunny 3BR duplex,216.0,Entire home/apt,No children under 10,3.0,3,4.0,Everett
Little Red and the big GWB,56.0,Private room,No pets,1.0,1,1.0,Everett
"Bright Guest Room with Balcony, Harlem",854.0,Private room,No children under 10,3.0,1,2.0,Everett
Charming Apartment near Empire State Building,220.0,Entire home/apt,No pets & No parties & No visitors,3.0,3,4.0,Everett
Charming garden apt in a brownstone,191.0,Entire home/apt,No parties & No pets,5.0,2,1.0,Everett
ONE STOP TO TIME SQUARE BEAUTIFUL QUIET STUDIO,131.0,Entire home/apt,No visitors & No smoking & No pets,1.0,2,2.0,Everett
211 East 34 St Room 8 (10 by 12),504.0,Private room,No parties,7.0,1,2.0,Everett
Mint Green in Cypress Hills,992.0,Private room,No children under 10,3.0,2,1.0,Everett
"Accessible Queen room,  your sanctuary in SoHo",178.0,Private room,No visitors,1.0,1,4.0,Everett
Beautiful Alcove Studio in West Midtown,660.0,Entire home/apt,No smoking & No visitors & No children under 10,3.0,3,4.0,Everett
"Bright, Cozy studio in beautiful West Village!",113.0,Entire home/apt,No pets,2.0,2,5.0,Everett
Suite with stunning view in convenient location,298.0,Private room,No children under 10 & No parties,3.0,2,2.0,Everett
Sunny 1 bedroom in spacious 2 bedroom apt.,1034.0,Private room,No pets,30.0,1,3.0,Everett
"Perfect Studio, Great location!",787.0,Private room,No pets & No visitors,2.0,2,2.0,Everett
Broadway 1,677.0,Entire home/apt,No smoking,2.0,3,4.0,Everett
Renovated 2 Bedroom Apartment,372.0,Entire home/apt,No parties & No visitors & No pets,2.0,2,4.0,Spokane
"Giant bedroom in Carroll Gardens, Brooklyn",99.0,Private room,No pets & No children under 10 & No smoking,2.0,2,5.0,Spokane
Newly renovated duplex home in Central Harlem,289.0,Entire home/apt,No smoking,2.0,2,3.0,Spokane
Sunny Room in heart of hippest Manhattan 'hood,1010.0,Private room,No parties,15.0,1,4.0,Spokane
Peaceful Studio In South Williamsburg,151.0,Entire home/apt,No children under 10,2.0,3,2.0,Spokane
"Large Beautiful Room in Prime BK, 10 Min to City!!",905.0,Private room,No smoking & No children under 10,30.0,2,5.0,Spokane
Brand New Luxury Apartment with Breathtaking Views,405.0,Entire home/apt,No parties,4.0,2,3.0,Spokane
Entire One Bedroom Apt-Great Location In Manhattan,955.0,Entire home/apt,No smoking,1.0,8,5.0,Spokane
Best Apartment in Manhattan Central Park,383.0,Entire home/apt,No visitors & No pets,2.0,3,2.0,Spokane
Private master bed and bath in Astoria,1117.0,Private room,No children under 10 & No pets & No smoking,7.0,1,2.0,Spokane
Shared Apartment by Times Square Manhattan,1050.0,Shared room,No visitors & No pets & No smoking,1.0,1,4.0,Seattle
Large quiet private studio in East Harlem,181.0,Entire home/apt,No children under 10,7.0,2,3.0,Seattle
Nolita 1br near Little Italy/SoHo,380.0,Entire home/apt,No visitors & No pets,20.0,2,1.0,Seattle
private spacious LES bedroom,325.0,Private room,No parties & No pets,2.0,1,4.0,Seattle
"Peaceful, cozy studio in Chinatown",576.0,Entire home/apt,No pets & No children under 10 & No visitors,20.0,2,1.0,Seattle
Small Private Room in quiet Manhattan Apt,105.0,Private room,No visitors,4.0,1,5.0,Seattle
Cozy Room Amazingly Located in Williamsburg !,448.0,Private room,No smoking,3.0,2,4.0,Seattle
NYC HUB HOME: Train @ 900ft; midtown 30min!,1184.0,Entire home/apt,No parties & No pets,2.0,7,4.0,Seattle
New tidy  room attached by PRIVATE FULL BATH,73.0,Private room,No parties & No smoking,3.0,2,5.0,Seattle
Sun Drenched Artist Loft in Williamsburg!,607.0,Entire home/apt,No children under 10 & No visitors & No parties,4.0,2,5.0,Seattle
**Cozy Room In Hip Ultra Location LES/NOLITA**,537.0,Private room,No visitors,2.0,2,5.0,Seattle
Comfort Haven,910.0,Private room,No smoking & No visitors & No parties,1.0,2,3.0,Seattle
Quiet and beautiful apartment near central park,930.0,Entire home/apt,No parties & No smoking,7.0,9,2.0,Fort Myers
Great room in Greenwich Village!,133.0,Private room,No visitors,1.0,1,4.0,Fort Myers
"Basement suite in Bushwick, 4 minutes from the M!",193.0,Private room,No children under 10 & No parties,3.0,2,3.0,Fort Myers
Large one bed room pied a terre in Park Slope,903.0,Entire home/apt,No pets & No smoking,30.0,2,4.0,Fort Myers
Beautiful & sunny large room in a gorgeous apt.,414.0,Private room,No smoking,30.0,2,5.0,Fort Myers
Spacious 1 Bedroom in the Heart of Williamsburg,623.0,Entire home/apt,No children under 10 & No smoking & No parties,1.0,2,2.0,Fort Myers
Private Apt in Queens NYC/less 5min walk to train,446.0,Entire home/apt,No pets & No parties,5.0,4,4.0,Fort Myers
Brooklyn Apartment,739.0,Private room,No smoking & No children under 10,6.0,2,3.0,Fort Myers
"Spacious and Cozy apartment, minutes to Manhattan!",1019.0,Private room,No children under 10 & No smoking,2.0,2,5.0,Fort Myers
"Lovely room with private bathroom, near Manhattan",681.0,Private room,No parties,1.0,1,1.0,Fort Myers
"Lower East Side, Bohemian Home, hipster location",783.0,Private room,No parties,3.0,2,2.0,Fort Myers
Studio Apartment in Upper East Side,366.0,Entire home/apt,No children under 10 & No visitors & No parties,7.0,3,5.0,Fort Myers
La Quinta Central Park West,327.0,Private room,No parties,1.0,2,5.0,Fort Myers
Medical Student Room A : Brooklyn Hospitals,508.0,Private room,No smoking,30.0,2,2.0,Fort Myers
East Village~Organic Living,984.0,Entire home/apt,No children under 10 & No parties,2.0,2,5.0,Fort Myers
Private room near Columbia,420.0,Private room,No visitors,1.0,1,1.0,Daytona Beach
"Homey 1BR in Fun, Central West Village w/ Doorman by Blueground",262.0,Entire home/apt,No parties,30.0,2,4.0,Daytona Beach
Elegant Brownstone Duplex,217.0,Entire home/apt,No smoking,3.0,3,1.0,Daytona Beach
Prime Williamsburg Large bedroom for 1or2 people,915.0,Private room,No visitors,1.0,1,2.0,Daytona Beach
Family House 7 Minutes To Manhattan,427.0,Entire home/apt,No visitors,2.0,4,1.0,Daytona Beach
Luxury Studio near Central Park - Times Square,155.0,Entire home/apt,No children under 10,29.0,2,2.0,Daytona Beach
2000 sqf  Duplex in Townhouse,885.0,Entire home/apt,No children under 10,5.0,3,1.0,Daytona Beach
曼哈顿林肯中心一室一厅,1152.0,Private room,No pets,1.0,1,2.0,Daytona Beach
Small Private Studio!,690.0,Private room,No children under 10 & No visitors,2.0,1,2.0,Daytona Beach
Modern New York City Penthouse w/ Incredible Views,469.0,Entire home/apt,No visitors,30.0,2,2.0,Daytona Beach
Private 4C Room in 4BR/2BA APT in Hell's Kitchen,1102.0,Private room,No smoking,1.0,2,4.0,Daytona Beach
✮ Gateway to the Boroughs ✮ Spacious Home Base ✮,917.0,Private room,No parties & No children under 10,1.0,1,5.0,Daytona Beach
Cool Brooklyn spot,983.0,Private room,No smoking & No pets,2.0,1,5.0,Daytona Beach
Private Entrance + Sunny Spacious Room in 2BR Apt,930.0,Private room,No visitors & No smoking,30.0,2,3.0,Daytona Beach
"Spacious 1 bdrm apt, East Village",1141.0,Entire home/apt,No visitors,3.0,5,2.0,Daytona Beach
Simple and clean bedroom with good view and light,669.0,Private room,No children under 10,1.0,2,5.0,Miami
Cozy Two-bedroom Apt in a Cute House in Brooklyn!,99.0,Private room,No children under 10,4.0,1,4.0,Miami
"""HELLO BROOKLYN"" PARK SIDE VIEW NEWLY RENO APT.",789.0,Entire home/apt,No parties & No visitors,1.0,6,5.0,Miami
King Hotel Room at Wyndham Midtown 45 Resort,264.0,Private room,No pets & No smoking & No children under 10,2.0,2,3.0,Miami
Charming 1BD Astoria Penthouse,806.0,Entire home/apt,No smoking,2.0,8,5.0,Miami
Unbeatable & Massive Midtown 3 Bedroom Apt,905.0,Entire home/apt,No smoking,4.0,6,5.0,Miami
1 Bedroom Heart of Financial Dist,386.0,Private room,No visitors & No children under 10 & No smoking,2.0,2,4.0,Miami
Bushwick Duplex 1,283.0,Private room,No parties,1.0,2,5.0,Miami
Comfortable shared apartmant by Times Square,924.0,Shared room,No smoking & No children under 10,1.0,1,2.0,Miami
Modern furnished 2-Bedroom NYC Apartment!,647.0,Entire home/apt,No parties,30.0,3,1.0,Miami
Williamsburg bliss,1086.0,Entire home/apt,No visitors,3.0,3,4.0,Miami
Spacious Room in Large 2 Bedroom Prewar Apartment,585.0,Private room,No parties & No visitors,1.0,2,4.0,San Diego
Big room near Prospect Park! NY!,752.0,Private room,No parties & No smoking & No pets,7.0,1,2.0,San Diego
"Luxury 4BR Home, Spacious & Central to Trains",392.0,Entire home/apt,No parties,3.0,3,5.0,San Diego
Cozy 1.5BD in Parkslope Brooklyn,1093.0,Entire home/apt,No parties,3.0,10,2.0,San Diego
Spacious & Homey Williamsburg 1BR Apartment,1004.0,Entire home/apt,No parties,5.0,4,3.0,San Diego
Upper East Side 1 Bedroom Gem,692.0,Shared room,No children under 10 & No parties & No smoking,2.0,1,3.0,San Diego
Organic Oasis Duplex (EMF-free),1186.0,Entire home/apt,No visitors & No smoking,60.0,4,4.0,San Diego
Harlem Garden Oasis in  New York City Brownstone,368.0,Entire home/apt,No visitors,31.0,3,5.0,San Diego
Conveniently located 2 BR Time Square Apartment,502.0,Entire home/apt,No parties & No smoking & No children under 10,2.0,4,5.0,San Diego
LargeBedroom gem in historic Red Hook Brooklyn!,787.0,Private room,No visitors,4.0,2,3.0,San Diego
The Perfect Upper East Side Apartment,847.0,Entire home/apt,No visitors,1.0,2,3.0,San Diego
CHIC EVENT SPACE,1068.0,Entire home/apt,No visitors,1.0,2,5.0,San Diego
DaDukes Dreams,491.0,Private room,No visitors,1.0,2,2.0,Bakersfield
GREAT LOCATION in NY! PRIVATE STUDIO with PARKING!,992.0,Entire home/apt,No pets & No children under 10,2.0,3,5.0,Bakersfield
A HOME AWAY FROM HOME IN NYC! UPTOWN,789.0,Shared room,No pets & No visitors,1.0,1,1.0,Bakersfield
